block	21	21	21	21	21	21	21	21	21	21
172	07:10	08:20	09:30	10:40	12:00	13:10	14:20	16:10	17:20	18:40
175	07:11	08:21	09:32	10:42	12:02	13:11	14:22	16:12	17:22	18:42
133	07:12	08:22	09:33	10:43	12:03	13:13	14:23	16:13	17:23	18:43
204	07:13	08:23	09:34	10:44	12:04	13:14	14:24	16:14	17:24	18:44
101	07:15	08:25	09:36	10:46	12:06	13:16	14:26	16:16	17:26	18:45
104	07:16	08:26	09:37	10:47	12:07	13:17	14:27	16:17	17:27	18:46
191	07:17	08:27	09:38	10:48	12:08	13:18	14:28	16:18	17:28	18:47
125	07:18	08:28	09:39	10:49	12:09	13:19	14:29	16:19	17:29	18:48
164	07:19	08:29	09:40	10:50	12:10	13:20	14:30	16:20	17:30	18:49
143	07:20	08:30	09:41	10:51	12:11	13:21	14:31	16:21	17:31	18:50
103	07:21	08:31	09:42	10:52	12:12	13:22	14:32	16:22	17:32	18:51
148	07:22	08:32	09:43	10:53	12:13	13:23	14:33	16:23	17:33	18:52
141	07:23	08:33	09:44	10:54	12:14	13:24	14:34	16:24	17:34	18:53
153	07:24	08:34	09:45	10:55	12:15	13:25	14:35	16:25	17:35	18:54
130	07:25	08:35	09:46	10:56	12:16	13:26	14:36	16:26	17:36	18:55
128	07:26	08:36	09:47	10:57	12:17	13:27	14:37	16:27	17:37	18:56
106	07:27	08:37	09:49	10:59	12:18	13:28	14:39	16:29	17:39	18:57
115	07:28	08:38	09:51	11:01	12:20	13:30	14:40	16:31	17:41	18:58
223	07:29	08:39	09:52	11:02	12:21	13:31	14:41	16:32	17:42	18:59
113	07:30	08:40	09:53	11:03	12:22	13:32	14:42	16:33	17:43	19:00
158	07:32	08:42	09:55	11:05	12:24	13:34	14:44	16:35	17:45	19:02
217	07:34	08:44	09:57	11:07	12:26	13:36	14:46	16:37	17:47	19:04
218	07:34	08:44	09:57	11:07	12:26	13:36	14:46	16:37	17:47	19:04
157	07:35	08:45	09:59	11:08	12:27	13:37	14:47	16:38	17:48	19:05
112	07:37	08:46	10:01	11:10	12:29	13:39	14:49	16:41	17:50	19:07
224	07:38	08:47	10:02	11:11	12:30	13:40	14:50	16:42	17:51	19:08
114	07:39	08:48	10:03	11:13	12:32	13:42	14:51	16:43	17:52	19:09
107	07:40	08:49	10:04	11:14	12:33	13:43	14:52	16:45	17:53	19:10
129	07:41	08:51	10:06	11:16	12:35	13:45	14:53	16:46	17:54	19:11
131	07:42	08:52	10:07	11:17	12:36	13:46	14:54	16:48	17:56	19:12
154	07:43	08:53	10:08	11:18	12:37	13:47	14:55	16:49	17:57	19:13
142	07:44	08:54	10:09	11:19	12:38	13:48	14:56	16:50	17:58	19:14
147	07:45	08:55	10:10	11:21	12:39	13:49	14:57	16:51	17:59	19:15
102	07:46	08:56	10:11	11:22	12:40	13:50	14:58	16:52	18:00	19:16
144	07:47	08:57	10:12	11:23	12:41	13:51	14:59	16:53	18:01	19:17
163	07:48	08:58	10:13	11:24	12:42	13:52	15:00	16:54	18:02	19:18
124	07:49	08:59	10:14	11:25	12:43	13:53	15:01	16:55	18:03	19:19
190	07:50	09:00	10:15	11:26	12:44	13:54	15:02	16:56	18:04	19:20
105	07:51	09:01	10:16	11:27	12:45	13:55	15:03	16:57	18:05	19:22
100	07:52	09:02	10:18	11:28	12:46	13:56	15:04	16:58	18:06	19:23
140	07:54	09:04	10:20	11:30	12:48	13:58	15:06	17:00	18:08	19:25
165	07:55	09:05	10:21	11:31	12:49	13:59	15:07	17:01	18:09	19:26
172	07:56	09:06	10:23	11:33	12:51	14:01	15:09	17:03	18:11	19:28
